index,facility_name,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city,province,source_format_str_address,CSDname,CSDuid,Pruid,latitude,longitude,city_lower,solar_potential_score,outage_risk_score,facility_score,final_score,rank
5693,the teddington,retirement home,Nursing and residential care facilities,Province of Ontario,,4,teddington park avenue,M4N2C3,toronto,on,,Toronto,3520005.0,35,43.7332454,-79.4038491,toronto,0.000539704301267718,0.4302500824021344,0.8,37.23,441
5704,the village of erin meadows,long-term care home,Nursing and residential care facilities,Province of Ontario,,2930,erin centre boulevard,L5M7M4,mississauga,on,,Mississauga,3521005.0,35,43.55312755,-79.72147048,mississauga,0.2,0.8203042836112999,0.8,59.81,120
5706,the village of humber heights,long-term care home,Nursing and residential care facilities,Province of Ontario,,2245,lawrence avenue w,M9P3W3,toronto,on,,Toronto,3520005.0,35,43.69710409,-79.52690243,toronto,0.0007226818495754124,0.38623001842910737,0.8,35.47,517
5708,the village of sandalwood park,long-term care home,Nursing and residential care facilities,Province of Ontario,,425,great lakes drive,L6R2W8,brampton,on,,Brampton,3521010.0,35,43.7410087,-79.7717325,brampton,0.2,0.7905051917943285,0.8,58.62,156
5709,the village of tansley woods,long-term care home,Nursing and residential care facilities,Province of Ontario,,4100,upper middle road,L7M4W8,burlington,on,,Burlington,3524002.0,35,43.38367062,-79.79950979,burlington,0.2,1.0,0.8,67.0,16
5710,the village of taunton mills,long-term care home,Nursing and residential care facilities,Province of Ontario,,3800,brock street n,L1R3A5,whitby,on,,Whitby,3518009.0,35,43.91312705,-78.95825897,whitby,0.2,0.609465994497783,0.8,51.38,244
5723,the wexford,long-term care home,Nursing and residential care facilities,Province of Ontario,,1860,lawrence avenue e,M1R5B1,toronto,on,,Toronto,3520005.0,35,43.7439777,-79.30345907,toronto,0.0008785559740511923,0.36629837810117116,0.8,34.68,551
5725,the wharton medical clinic inc. - css,community support service,Ambulatory health care services,Province of Ontario,,2951,walkers line,L7M4Y1,burlington,on,,Burlington,3524002.0,35,43.39210732,-79.8216486,burlington,0.2,0.9941973072592174,0.5,59.27,137
5726,the williamsburg,retirement home,Nursing and residential care facilities,Province of Ontario,,1893,appleby line,L7L0G5,burlington,on,,Burlington,3524002.0,35,43.39273432,-79.78777969,burlington,0.2,0.9803994765780628,0.8,66.22,36
5730,the youth centre,children's treatment centre,Hospitals,Province of Ontario,,360,bayly street w,L1S1P1,ajax,on,,Ajax,3518005.0,35,43.84185373,-79.03228419,ajax,0.2,0.5630741545248878,1.0,54.52,208
5734,thistletown regional centre for children and adolescents,psychiatric,,Public Health Agency of Canada,,51,panorama crt,M9V4L8,toronto,on,51 panorama crt. toronto on m9v 4l8,Toronto,3520005.0,35,43.7474338,-79.5767771,toronto,0.0032426795910404523,0.2876111619756393,0.5,24.12,880
5735,thompson house,long-term care home,Nursing and residential care facilities,Province of Ontario,,1,overland drive,M3C2C3,toronto,on,,Toronto,3520005.0,35,43.7324901,-79.34677178,toronto,0.0025493145128811815,0.2841946228030574,0.8,31.46,673
5737,thorntonview,long-term care home,Nursing and residential care facilities,Province of Ontario,,186,thornton road s,L1J5Y2,oshawa,on,,Oshawa,3518013.0,35,43.8859505,-78.8922213,oshawa,0.2,0.7457522668620356,0.8,56.83,178
5739,three trilliums community place inc.,community support service,Ambulatory health care services,Province of Ontario,,25,elm street,M5G2G5,toronto,on,,Toronto,3520005.0,35,43.65754079,-79.38291138,toronto,0.001825855253902332,0.3836482642855694,0.5,27.91,792
5763,tobias house attendant care inc.,community support service,Ambulatory health care services,Province of Ontario,,695,coxwell avenue,M4C5R6,toronto,on,,Toronto,3520005.0,35,43.68309609,-79.32334507,toronto,0.00042948468671208037,0.46170351464470677,0.5,30.98,694
5764,tony stacey centre for veterans' care,long-term care home,Nursing and residential care facilities,Province of Ontario,,59,lawson road,M1C2J1,toronto,on,,Toronto,3520005.0,35,43.78323942,-79.16339403,toronto,0.0009330533176590089,0.44367414180225023,0.8,37.78,417
5765,toronto central local health integration network,local health integration network office,Ambulatory health care services,Province of Ontario,,425,bloor street e,M4W3R4,toronto,on,,Toronto,3520005.0,35,43.67212719,-79.37638908,toronto,0.0014893402435249875,0.45418558034210044,0.5,30.72,702
5766,toronto central local health integration network (lhin op),community support service,Ambulatory health care services,Province of Ontario,,425,bloor street e,M4W3R4,toronto,on,,Toronto,3520005.0,35,43.67212719,-79.37638908,toronto,0.0014893402435249875,0.42398305304495043,0.5,29.51,734
5767,toronto east general hospital,general,Hospitals,Public Health Agency of Canada,,825,coxwell ave,M4C3E7,toronto,on,825 coxwell ave. toronto on m4c 3e7,Toronto,3520005.0,35,43.6897586,-79.3259225,toronto,0.00041378085472306114,0.4078597540579399,1.0,41.33,320
5768,toronto east health network,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,2,college street,M5G1K3,toronto,on,,Toronto,3520005.0,35,43.66144329,-79.38348678,toronto,0.001825855253902332,0.4106144193448657,0.8,36.49,476
5769,toronto intergenerational partnerships,community support service,Ambulatory health care services,Province of Ontario,,800,greenwood avenue,M4J4B7,toronto,on,,Toronto,3520005.0,35,43.68283639,-79.33415687,toronto,0.0005476796035600019,0.4712500452261375,0.5,31.37,677
5770,toronto north support services,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,132,railside road,M3A1A3,toronto,on,,Toronto,3520005.0,35,43.7365707,-79.32659547,toronto,0.004228312711794572,0.33636475876521166,0.8,33.6,596
5771,toronto people with aids foundation-pwa,community support service,Ambulatory health care services,Province of Ontario,,200,gerrard street e,M5A2E6,toronto,on,,Toronto,3520005.0,35,43.66144079,-79.37176928,toronto,0.0007522838288911854,0.3957277550864442,0.5,28.36,785
5772,toronto public health,public health unit office,Ambulatory health care services,Province of Ontario,,277,victoria street,M5B1W2,toronto,on,,Toronto,3520005.0,35,43.65654429,-79.37938038,toronto,0.001825855253902332,0.4616143647301386,0.5,31.03,691
5773,toronto rehabilitation institute - css,community support service,Ambulatory health care services,Province of Ontario,,550,university avenue,M5G2A2,toronto,on,,Toronto,3520005.0,35,43.65678129,-79.38979619,toronto,0.0030713505146481588,0.316938764114019,0.5,25.29,856
5774,toronto rehabilitation institute - e. w. bickle centre,rehabilitation,Nursing and residential care facilities,Public Health Agency of Canada,,130,dunn ave,M6K2R7,toronto,on,130 dunn ave. toronto on m6k 2r7,Toronto,3520005.0,35,43.6348034,-79.4327094,toronto,0.0012024974257898065,0.3931723840715808,0.8,35.77,507
5775,toronto rehabilitation institute - hillcrest centre,rehabilitation,Nursing and residential care facilities,Public Health Agency of Canada,,47,austin terrace,M5R1Y8,toronto,on,47 austin terrace toronto on m5r 1y8,Toronto,3520005.0,35,43.6775465,-79.4155915,toronto,0.0006897575305954878,0.43182192626587207,0.8,37.3,434
5776,toronto rehabilitation institute - lyndhurst centre,rehabilitation,Nursing and residential care facilities,Public Health Agency of Canada,,520,sutherland dr,M4G3V9,toronto,on,520 sutherland dr. toronto on m4g 3v9,Toronto,3520005.0,35,43.7184894,-79.3697116,toronto,0.0008560326094236144,0.3686981907078195,0.8,34.78,545
5777,toronto rehabilitation institute - rumsey centre,rehabilitation,Nursing and residential care facilities,Public Health Agency of Canada,,345 347,rumsey rd,M4G1R7,toronto,on,345 - 347 rumsey rd. toronto on m4g 1r7,Toronto,3520005.0,35,43.7187286,-79.3715512,toronto,0.0008560326094236144,0.4000513545270556,0.8,36.03,497
5778,toronto rehabilitation institute - university centre,rehabilitation,Nursing and residential care facilities,Public Health Agency of Canada,,550,university ave,M5G2A2,toronto,on,550 university ave. toronto on m5g 2a2,Toronto,3520005.0,35,43.6567107,-79.3899079,toronto,0.0030713505146481588,0.34191548624397006,0.8,33.78,587
5779,town of whitby (whitby seniors' activity centre),community support service,Ambulatory health care services,Province of Ontario,,801,brock street s,L1N4L4,whitby,on,,Whitby,3518009.0,35,43.87255314,-78.93868316,whitby,0.2,0.522221223417884,0.5,40.39,333
5781,traditions of durham retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,1255,bloor street e,L1H0B3,oshawa,on,,Oshawa,3518013.0,35,43.89015215,-78.81017172,oshawa,0.2,0.638939466887424,0.8,52.56,227
5782,trafalgar lodge,retirement home,Nursing and residential care facilities,Province of Ontario,,299,randall street,L6J6B4,oakville,on,,Oakville,3524001.0,35,43.44891054,-79.66803676,oakville,0.2,1.0,0.8,67.0,16
5783,transcare community support services,community support service,Ambulatory health care services,Province of Ontario,,1045,mcnicoll avenue,M1W3W6,toronto,on,,Toronto,3520005.0,35,43.80385871,-79.33390698,toronto,0.0013639847917214212,0.3642124456358196,0.5,27.12,812
5784,transition house incorporated,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,162,madison avenue,M5R2S6,toronto,on,,Toronto,3520005.0,35,43.67413319,-79.40586279,toronto,0.0005542539159692335,0.32307436416432533,0.8,32.94,621
5793,trillium health centre,,Hospitals,Canadian Institute for Health Information,,100,queensway w,L5B1B8,mississauga,on,100 queensway west mississauga on l5b 1b8 canada,Mississauga,3521005.0,35,43.571601,-79.608483,mississauga,0.2,0.9594568951709291,1.0,70.38,6
5794,trillium health centre - mississauga,general,Hospitals,Public Health Agency of Canada,,100,queensway w,L5B1B8,mississauga,on,100 queensway w. mississauga on l5b 1b8,Mississauga,3521005.0,35,43.571586,-79.607685,mississauga,0.2,0.9101329010493088,1.0,68.41,7
5795,trillium health partners,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,150,sherway drive,M9C1A5,toronto,on,,Toronto,3520005.0,35,43.60904697,-79.56182134,toronto,0.01073592472810095,0.4282576598364933,0.8,37.51,423
5796,trillium health partners - credit valley,hospital - site,Hospitals,Province of Ontario,,2200,eglinton avenue w,L5M2N1,mississauga,on,,Mississauga,3521005.0,35,43.5591213,-79.7037003,mississauga,0.2,0.9714095235384606,1.0,70.86,5
5798,trillium health partners -css,community support service,Ambulatory health care services,Province of Ontario,,100,queensway w,L5B1B8,mississauga,on,,Mississauga,3521005.0,35,43.57143586,-79.60855415,mississauga,0.2,0.8016329781348572,0.5,51.57,239
5799,trillium health partners  credit valley hospital,"active acute hospital, long term care",Hospitals,Canadian Institute for Health Information,,,,L5M2N1,mississauga,on,,Mississauga,,35,43.5852972,-79.64498379999999,mississauga,0.2,0.8603637379566019,1.0,66.41,33
